inst,succ probSAT,of,steps probSAT,awg fined probSAT,mu probSAT,sig^2 probSAT
uf20-0859.cnf,1000,1000,41.828,41.828,3.35364,0.75353
uf20-0860.cnf,1000,1000,20.056,20.056,2.74846,0.46413
uf20-0861.cnf,1000,1000,42.284,42.284,3.27606,0.93676
uf20-0862.cnf,1000,1000,26.621,26.621,2.95197,0.60835
uf20-0863.cnf,1000,1000,114.802,114.802,4.14811,1.34122
uf20-0864.cnf,1000,1000,37.621,37.621,3.31628,0.63139
uf20-0865.cnf,1000,1000,53.611,53.611,3.58607,0.85312
uf20-0866.cnf,1000,1000,65.565,65.565,3.67658,1.06138
uf20-0867.cnf,1000,1000,153.663,153.663,4.49183,1.25571
uf20-0868.cnf,1000,1000,19.18,19.18,2.73169,0.46234
uf20-0869.cnf,1000,1000,98.64,98.64,4.11507,1.05551
uf20-0870.cnf,1000,1000,45.9,45.9,3.44977,0.77351
uf20-0871.cnf,1000,1000,91.016,91.016,3.93054,1.27403
uf20-0872.cnf,1000,1000,34.354,34.354,3.13224,0.7973
uf20-0873.cnf,1000,1000,117.763,117.763,4.29171,1.08201
uf20-0874.cnf,1000,1000,23.457,23.457,2.85941,0.59259
uf20-0875.cnf,1000,1000,88.537,88.537,3.8866,1.18738
uf20-0876.cnf,1000,1000,42.252,42.252,3.34843,0.78111
uf20-0877.cnf,996,1000,202.495,256.495,4.6421,1.58514
uf20-0878.cnf,1000,1000,26.605,26.605,2.97728,0.62174
uf20-0879.cnf,1000,1000,96.662,96.662,4.05748,1.17582
uf20-0880.cnf,1000,1000,52.487,52.487,3.5456,0.87717
uf20-0881.cnf,1000,1000,113.887,113.887,4.26787,1.00219
uf20-0882.cnf,1000,1000,47.623,47.623,3.46959,0.80994
uf20-0883.cnf,1000,1000,139.069,139.069,4.4835,1.10231
uf20-0884.cnf,1000,1000,105.968,105.968,4.12536,1.22823
uf20-0885.cnf,1000,1000,71.559,71.559,3.78559,1.03889
uf20-0886.cnf,1000,1000,61.401,61.401,3.73498,0.8529
